Book.ID,Title,genre
37186,The Miraculous Journey of Edward Tulane,Childrens
37186,The Miraculous Journey of Edward Tulane,Fantasy
9361589,The Night Circus,Fiction
9361589,The Night Circus,Fantasy
560637,"The Patchwork Girl of Oz (Oz, #7)",Fiction
560637,"The Patchwork Girl of Oz (Oz, #7)",Childrens
560637,"The Patchwork Girl of Oz (Oz, #7)",Fantasy
15957,The Patron Saint of Liars,Fiction
31927265,The Queen's Corgi: On Purpose,Fiction
31927265,The Queen's Corgi: On Purpose,Childrens
179639,"The Road to Oz (Oz, #5)",Fiction
179639,"The Road to Oz (Oz, #5)",Childrens
179639,"The Road to Oz (Oz, #5)",Fantasy
17650,The Robber Bride,Fiction
135288,"The Scarecrow of Oz (Oz, #9)",Fiction
135288,"The Scarecrow of Oz (Oz, #9)",Childrens
135288,"The Scarecrow of Oz (Oz, #9)",Fantasy
39913740,"The Sentence is Death (Hawthorne, #2)",Fiction
42975172,"The Testaments (The Handmaid's Tale, #2)",Fiction
42975172,"The Testaments (The Handmaid's Tale, #2)",SciFi
87294,"The Tin Woodman of Oz (Oz, #12)",Fiction
87294,"The Tin Woodman of Oz (Oz, #12)",Childrens
87294,"The Tin Woodman of Oz (Oz, #12)",Fantasy
42080142,The Turn of the Key,Fiction
42080142,The Turn of the Key,Mystery
236093,"The Wonderful Wizard of Oz (Oz, #1)",Fiction
236093,"The Wonderful Wizard of Oz (Oz, #1)",Childrens
236093,"The Wonderful Wizard of Oz (Oz, #1)",Fantasy
6080337,"The Year of the Flood (MaddAddam, #2)",Fiction
6080337,"The Year of the Flood (MaddAddam, #2)",SciFi
548260,"Tik-Tok of Oz (Oz, #8)",Fiction
548260,"Tik-Tok of Oz (Oz, #8)",Childrens
548260,"Tik-Tok of Oz (Oz, #8)",Fantasy
28923,When We Were Orphans,Fiction
2442,"Witches Abroad (Discworld, #12; Witches #3)",Fiction
2442,"Witches Abroad (Discworld, #12; Witches #3)",Fantasy
34504,"Wyrd Sisters (Discworld, #6; Witches #2)",Fiction
34504,"Wyrd Sisters (Discworld, #6; Witches #2)",Fantasy
69477,Z for Zachariah,Fiction
69477,Z for Zachariah,SciFi
2102600,"Zoe's Tale (Old Man's War, #4)",Fiction
2102600,"Zoe's Tale (Old Man's War, #4)",SciFi
